date,text,clean_text,sentiment,sentiment_score,topic,engagement_score
2023-08-28,Air France agent couldn't understand my English properly. Communication barrier issues.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.25651929526434675,Positive,96
2023-07-19,Air France customer service is terrible! Been on hold for 2 hours.,Air France lost my luggage and customer service is unresponsive.,Negative,0.7187857978766841,Positive,37
2023-07-29,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.6007597062720973,Positive,12
2023-11-17,"Booking change with Air France - website shows one price, agent quotes another.","Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.7624330621024789,Visa Issues,30
2023-06-15,Air France agent couldn't understand my English properly. Communication barrier issues.,Mixed experience - good flight but terrible ground service from Air France.,Positive,0.884874314193232,Language Barriers,46
2023-11-22,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Mixed experience - good flight but terrible ground service from Air France.,Negative,0.638862149244104,Language Barriers,99
2023-07-21,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.7445906330538861,Luggage Issues,87
2023-09-16,"Every time I call Air France, I get a different agent and have to explain everything again.",Air France lost my luggage and customer service is unresponsive.,Positive,0.767810901531842,Call Center,51
2023-07-25,Air France customer service is terrible! Been on hold for 2 hours.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.48338791195683983,Positive,55
2023-08-03,Great service from Air France today! Agent was very helpful with my rebooking.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.38081362424722387,Agent Continuity,14
2023-10-09,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.35378399637989366,Call Center,28
2023-07-21,Mixed experience - good flight but terrible ground service from Air France.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.38858182963384885,Call Center,7
2023-10-13,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Neutral,0.4060488477694316,Language Barriers,4
2023-06-21,Air France customer service is terrible! Been on hold for 2 hours.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.35542073675604235,Call Center,28
2023-08-12,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Mixed experience - good flight but terrible ground service from Air France.,Negative,0.8586655006093942,Positive,46
2023-11-14,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.7677493491291716,Positive,67
2023-06-18,Air France lost my luggage and customer service is unresponsive.,Air France call center always busy. Can't get through for 3 days.,Neutral,0.23517235084341495,Visa Issues,75
2023-10-10,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Air France lost my luggage and customer service is unresponsive.,Negative,0.4015043615189805,Positive,44
2023-08-28,Great service from Air France today! Agent was very helpful with my rebooking.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.21663855652272623,Positive,1
2023-07-30,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.5736238899844197,Language Barriers,26
2023-06-14,Air France customer service is terrible! Been on hold for 2 hours.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Neutral,0.5571580225917607,Positive,94
2023-06-09,"Every time I call Air France, I get a different agent and have to explain everything again.","Booking change with Air France - website shows one price, agent quotes another.",Negative,0.8235286175468759,Visa Issues,35
2023-08-29,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.4308329298282871,Agent Continuity,35
2023-07-23,Great service from Air France today! Agent was very helpful with my rebooking.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.8122893014097967,Language Barriers,25
2023-10-08,"Booking change with Air France - website shows one price, agent quotes another.",Air France call center always busy. Can't get through for 3 days.,Negative,0.9259803240798672,Agent Continuity,42
2023-08-23,Air France lost my luggage and customer service is unresponsive.,Mixed experience - good flight but terrible ground service from Air France.,Negative,0.26630616752423497,Language Barriers,26
2023-08-31,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!","Booking change with Air France - website shows one price, agent quotes another.",Negative,0.7938633796022248,Luggage Issues,68
2023-09-19,Air France agent couldn't understand my English properly. Communication barrier issues.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.6424669228532272,Call Center,19
2023-11-19,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Air France call center always busy. Can't get through for 3 days.,Negative,0.5600344752638564,Luggage Issues,10
2023-06-08,Mixed experience - good flight but terrible ground service from Air France.,Air France agent couldn't understand my English properly. Communication barrier issues.,Positive,0.5154018339988062,Positive,73
2023-11-22,Air France customer service is terrible! Been on hold for 2 hours.,Air France agent couldn't understand my English properly. Communication barrier issues.,Neutral,0.7885011979582321,Agent Continuity,37
2023-07-05,Air France lost my luggage and customer service is unresponsive.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.6795210177306819,Positive,5
2023-08-20,Mixed experience - good flight but terrible ground service from Air France.,Mixed experience - good flight but terrible ground service from Air France.,Positive,0.8037835006395213,Call Center,71
2023-11-11,Great service from Air France today! Agent was very helpful with my rebooking.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.8773632940074696,Language Barriers,22
2023-07-20,Air France agent couldn't understand my English properly. Communication barrier issues.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.662947784072969,Call Center,46
2023-09-12,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.9353470438192835,Visa Issues,89
2023-10-10,Air France lost my luggage and customer service is unresponsive.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.656065887156414,Call Center,45
2023-06-02,Air France lost my luggage and customer service is unresponsive.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.677483241216712,Visa Issues,11
2023-10-12,Air France customer service is terrible! Been on hold for 2 hours.,Air France lost my luggage and customer service is unresponsive.,Negative,0.6161117064066692,Call Center,89
2023-07-24,Air France call center always busy. Can't get through for 3 days.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.2682515682884977,Visa Issues,12
2023-09-14,Air France lost my luggage and customer service is unresponsive.,Air France call center always busy. Can't get through for 3 days.,Negative,0.7447977744876713,Agent Continuity,61
2023-06-04,"Every time I call Air France, I get a different agent and have to explain everything again.","Booking change with Air France - website shows one price, agent quotes another.",Positive,0.6105847301743337,Positive,81
2023-07-24,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France lost my luggage and customer service is unresponsive.,Neutral,0.5381828355620784,Positive,88
2023-10-24,Air France agent couldn't understand my English properly. Communication barrier issues.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.8828534588024548,Luggage Issues,96
2023-07-14,"Every time I call Air France, I get a different agent and have to explain everything again.","Booking change with Air France - website shows one price, agent quotes another.",Positive,0.4234695886564629,Positive,59
2023-11-09,"Booking change with Air France - website shows one price, agent quotes another.",Air France lost my luggage and customer service is unresponsive.,Positive,0.5927017070112583,Language Barriers,42
2023-06-14,"Every time I call Air France, I get a different agent and have to explain everything again.",Air France customer service is terrible! Been on hold for 2 hours.,Positive,0.7232314036200975,Call Center,75
2023-09-03,"Every time I call Air France, I get a different agent and have to explain everything again.",Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.7973538317554079,Luggage Issues,99
2023-07-18,Air France agent couldn't understand my English properly. Communication barrier issues.,"Booking change with Air France - website shows one price, agent quotes another.",Neutral,0.5445101059596293,Language Barriers,67
2023-06-15,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Air France lost my luggage and customer service is unresponsive.,Negative,0.8315685612640322,Language Barriers,4
2023-07-10,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France lost my luggage and customer service is unresponsive.,Neutral,0.7766883059865481,Visa Issues,36
2023-08-21,Air France call center always busy. Can't get through for 3 days.,Great service from Air France today! Agent was very helpful with my rebooking.,Positive,0.2496769833888994,Positive,71
2023-09-19,Air France customer service is terrible! Been on hold for 2 hours.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.23439594980347472,Agent Continuity,91
2023-07-23,Mixed experience - good flight but terrible ground service from Air France.,Mixed experience - good flight but terrible ground service from Air France.,Neutral,0.6656042633165684,Agent Continuity,30
2023-06-24,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Great service from Air France today! Agent was very helpful with my rebooking.,Neutral,0.46056005616906065,Luggage Issues,8
2023-11-01,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Great service from Air France today! Agent was very helpful with my rebooking.,Neutral,0.35684809330888567,Agent Continuity,50
2023-10-02,Mixed experience - good flight but terrible ground service from Air France.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.6347374508538037,Call Center,28
2023-07-11,Air France customer service is terrible! Been on hold for 2 hours.,Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.4561724078424088,Agent Continuity,77
2023-11-04,Air France call center always busy. Can't get through for 3 days.,Air France lost my luggage and customer service is unresponsive.,Negative,0.6029475625355525,Luggage Issues,39
2023-06-15,Air France call center always busy. Can't get through for 3 days.,Air France agent couldn't understand my English properly. Communication barrier issues.,Neutral,0.545089369237679,Agent Continuity,40
2023-07-15,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.6385745794618654,Call Center,85
2023-08-04,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!","Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.500225366682711,Visa Issues,10
2023-08-28,"Booking change with Air France - website shows one price, agent quotes another.",Mixed experience - good flight but terrible ground service from Air France.,Negative,0.7232506802726988,Luggage Issues,22
2023-08-10,"Every time I call Air France, I get a different agent and have to explain everything again.",Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.3350504542619739,Visa Issues,0
2023-06-09,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Neutral,0.7223760996703092,Visa Issues,45
2023-08-27,"Booking change with Air France - website shows one price, agent quotes another.","Booking change with Air France - website shows one price, agent quotes another.",Neutral,0.508745910768146,Visa Issues,20
2023-10-07,Air France call center always busy. Can't get through for 3 days.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.8557382036408128,Language Barriers,89
2023-10-14,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France customer service is terrible! Been on hold for 2 hours.,Positive,0.5864270411481582,Positive,35
2023-08-02,Air France customer service is terrible! Been on hold for 2 hours.,Mixed experience - good flight but terrible ground service from Air France.,Negative,0.9298327619525781,Language Barriers,53
2023-10-17,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.6514515466557202,Positive,86
2023-08-20,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Neutral,0.36788679942974045,Visa Issues,56
2023-10-14,Great service from Air France today! Agent was very helpful with my rebooking.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.8163429776333369,Luggage Issues,0
2023-11-10,Great service from Air France today! Agent was very helpful with my rebooking.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.4588119708667901,Positive,62
2023-11-10,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Great service from Air France today! Agent was very helpful with my rebooking.,Neutral,0.46071441086201265,Call Center,53
2023-07-03,Air France call center always busy. Can't get through for 3 days.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.22385351111387386,Call Center,54
2023-10-01,Air France call center always busy. Can't get through for 3 days.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.6115364819055564,Agent Continuity,39
2023-06-05,"Every time I call Air France, I get a different agent and have to explain everything again.","Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.6008176277993922,Positive,14
2023-07-11,"Every time I call Air France, I get a different agent and have to explain everything again.",Air France call center always busy. Can't get through for 3 days.,Negative,0.46699361320398963,Luggage Issues,20
2023-06-28,"Every time I call Air France, I get a different agent and have to explain everything again.",Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.8706629471719443,Language Barriers,46
2023-10-13,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.2965612987247329,Visa Issues,72
2023-08-11,Mixed experience - good flight but terrible ground service from Air France.,"Booking change with Air France - website shows one price, agent quotes another.",Neutral,0.44757463498261657,Agent Continuity,52
2023-06-12,Air France lost my luggage and customer service is unresponsive.,"Booking change with Air France - website shows one price, agent quotes another.",Neutral,0.44118707351002173,Call Center,8
2023-11-09,Mixed experience - good flight but terrible ground service from Air France.,Air France customer service is terrible! Been on hold for 2 hours.,Neutral,0.2692179396715596,Language Barriers,73
2023-07-03,Air France customer service is terrible! Been on hold for 2 hours.,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Neutral,0.56085904554222,Language Barriers,51
2023-07-18,Mixed experience - good flight but terrible ground service from Air France.,Air France lost my luggage and customer service is unresponsive.,Negative,0.7158385378220622,Visa Issues,56
2023-10-29,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France call center always busy. Can't get through for 3 days.,Negative,0.5837427601604459,Positive,25
2023-08-01,Air France customer service is terrible! Been on hold for 2 hours.,Mixed experience - good flight but terrible ground service from Air France.,Negative,0.3177332620371453,Call Center,40
2023-07-07,Mixed experience - good flight but terrible ground service from Air France.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.48296447393155445,Luggage Issues,34
2023-09-07,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.20194626828773493,Language Barriers,62
2023-11-19,Air France lost my luggage and customer service is unresponsive.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.8512258302766902,Visa Issues,24
2023-09-12,Mixed experience - good flight but terrible ground service from Air France.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.26338775576051143,Luggage Issues,89
2023-07-05,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France lost my luggage and customer service is unresponsive.,Neutral,0.6479585616915728,Positive,74
2023-09-09,"Every time I call Air France, I get a different agent and have to explain everything again.","Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Positive,0.9396927469001113,Call Center,37
2023-11-22,Air France call center always busy. Can't get through for 3 days.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.6024429844904995,Positive,1
2023-10-09,"Every time I call Air France, I get a different agent and have to explain everything again.","Booking change with Air France - website shows one price, agent quotes another.",Negative,0.8930313193305748,Language Barriers,6
2023-06-01,Air France call center always busy. Can't get through for 3 days.,"Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.3770873998380533,Luggage Issues,81
2023-06-05,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Great service from Air France today! Agent was very helpful with my rebooking.,Positive,0.7699665567031893,Luggage Issues,90
2023-10-20,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Air France lost my luggage and customer service is unresponsive.,Positive,0.5984493154801505,Luggage Issues,33
2023-09-11,Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Air France call center always busy. Can't get through for 3 days.,Negative,0.7403870460435986,Language Barriers,90
2023-06-27,Air France lost my luggage and customer service is unresponsive.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.2467560218834311,Language Barriers,16
2023-10-15,"Every time I call Air France, I get a different agent and have to explain everything again.",Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.31080431892967003,Positive,42
2023-06-15,Air France call center always busy. Can't get through for 3 days.,Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.2998376964406087,Agent Continuity,58
2023-08-29,Air France agent couldn't understand my English properly. Communication barrier issues.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.7153741290524984,Positive,50
2023-07-12,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.8333305044752215,Call Center,53
2023-10-02,Air France agent couldn't understand my English properly. Communication barrier issues.,"Booking change with Air France - website shows one price, agent quotes another.",Positive,0.7622121740064405,Visa Issues,23
2023-11-26,Air France customer service is terrible! Been on hold for 2 hours.,Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.22285411455019563,Luggage Issues,24
2023-08-02,Great service from Air France today! Agent was very helpful with my rebooking.,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.8504112358060425,Agent Continuity,70
2023-09-04,Air France agent couldn't understand my English properly. Communication barrier issues.,Air France agent couldn't understand my English properly. Communication barrier issues.,Neutral,0.46561000309484407,Visa Issues,51
2023-07-22,Mixed experience - good flight but terrible ground service from Air France.,Air France customer service is terrible! Been on hold for 2 hours.,Positive,0.4978728743780619,Agent Continuity,69
2023-09-04,Mixed experience - good flight but terrible ground service from Air France.,Great service from Air France today! Agent was very helpful with my rebooking.,Positive,0.2786518748993607,Positive,87
2023-10-10,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!","Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Negative,0.7530539045703644,Language Barriers,32
2023-10-29,"Every time I call Air France, I get a different agent and have to explain everything again.","Booking change with Air France - website shows one price, agent quotes another.",Negative,0.3367129088569686,Luggage Issues,48
2023-10-21,Air France customer service is terrible! Been on hold for 2 hours.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.6229738190141273,Positive,28
2023-11-18,Air France customer service is terrible! Been on hold for 2 hours.,Air France lost my luggage and customer service is unresponsive.,Negative,0.8305324894084483,Visa Issues,62
2023-06-29,"Every time I call Air France, I get a different agent and have to explain everything again.",Great service from Air France today! Agent was very helpful with my rebooking.,Negative,0.2669032465340422,Visa Issues,21
2023-07-06,Air France lost my luggage and customer service is unresponsive.,Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.6015016730116427,Visa Issues,25
2023-06-13,"Flight cancelled by Air France, no alternatives provided. Stranded at airport!",Trying to change my Nigeria flight due to visa delay. Air France wants huge fees to rebook to Accra.,Negative,0.3749123086623509,Visa Issues,27
2023-11-07,Air France lost my luggage and customer service is unresponsive.,Air France agent couldn't understand my English properly. Communication barrier issues.,Negative,0.45719514820869517,Visa Issues,84
2023-08-10,Air France lost my luggage and customer service is unresponsive.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.5554774560729172,Agent Continuity,48
2023-08-25,Air France lost my luggage and customer service is unresponsive.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.4663282274594786,Positive,70
2023-06-28,"Every time I call Air France, I get a different agent and have to explain everything again.","Every time I call Air France, I get a different agent and have to explain everything again.",Negative,0.6866171302186821,Luggage Issues,80
2023-08-05,Air France lost my luggage and customer service is unresponsive.,"Booking change with Air France - website shows one price, agent quotes another.",Negative,0.5596865763156877,Language Barriers,83
2023-11-17,Mixed experience - good flight but terrible ground service from Air France.,Air France customer service is terrible! Been on hold for 2 hours.,Negative,0.638149613535627,Language Barriers,48
